City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Portland,US,62.58,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
277,Guerrero Negro,MX,78.13,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Bathsheba,BB,80.65,scattered clouds,13.2167,-59.5167,Atlantis Hotel
282,Namibe,AO,69.42,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
283,Conceicao Da Barra,BR,77.07,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
285,Nishihara,JP,68.05,mist,26.1842,127.7558,Minshuku Agaihama
295,Kondoa,TZ,65.14,broken clouds,-4.9,35.7833,Kinyuma Lodge
297,Harper,LR,79.3,broken clouds,4.375,-7.7169,Screensaver
298,Sijunjung,ID,68.95,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
300,General Roca,AR,83.14,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
301,Cozumel,MX,79.99,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
303,Phonhong,LA,65.53,overcast clouds,18.5007,102.4166,Manyvong Guest House
305,Alofi,NU,77.25,broken clouds,-19.0595,-169.9187,Taloa Heights
306,Viedma,AR,74.21,clear sky,-40.8135,-62.9967,Hotel Cristal
312,Mutis,CO,81.1,scattered clouds,6.2262,-77.4044,Paraiso Escondido
313,Japura,ID,72.36,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
314,Takoradi,GH,80.55,overcast clouds,4.8845,-1.7554,Raybow International Hotel
319,Copiapo,CL,62.29,clear sky,-27.3667,-70.3333,San Francisco de La Selva
320,Port Shepstone,ZA,70.93,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
321,Umm Lajj,SA,82.24,clear sky,25.0213,37.2685,Moon light Furnished Units
322,Grand Gaube,MU,77.02,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
329,Lisala,CD,74.35,overcast clouds,2.15,21.5167,Flat hôtel tozelaka
331,Rusape,ZW,62.1,clear sky,-18.5278,32.1284,Surrey Lodge
332,Ahipara,NZ,68.65,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
333,Kieta,PG,81.52,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
337,Chimoio,MZ,61.92,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
338,Labuhan,ID,75.88,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
341,Port Blair,IN,79.56,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
344,Houma,US,64.4,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
345,Boca Do Acre,BR,80.02,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
347,Chinhoyi,ZW,68.32,few clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
348,Bull Savanna,JM,78.15,scattered clouds,17.8868,-77.5902,Big Red's
349,Gondanglegi,ID,75.27,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
350,Sao Jose Da Coroa Grande,BR,80.44,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
352,Caravelas,BR,74.3,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
353,Mizan Teferi,ET,66.78,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
354,Bhayavadar,IN,72.99,broken clouds,21.85,70.25,Ami pan
356,Cockburn Town,TC,78.26,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
357,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
358,Ranong,TH,75.2,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
359,Tala,EG,67.84,broken clouds,30.6803,30.9429,مصطفى اشرف
360,Port Hedland,AU,73.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
362,Fougamou,GA,73.78,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
364,Port Lincoln,AU,61.21,clear sky,-34.7333,135.8667,Port Lincoln Hotel
365,Campos,BR,73.45,broken clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
366,Saint-Raphael,HT,76.37,scattered clouds,19.4333,-72.2,Adouly Hôtel
368,Nattarasankottai,IN,73.35,light rain,9.8667,78.5667,Vengateshwara lodge
371,Qiryat Shemona,IL,66.56,overcast clouds,33.2073,35.5721,"אכסניית אנ""א תל חי HI Tel Hai Hostel"
372,Banda Aceh,ID,77.36,overcast clouds,5.5577,95.3222,Sulthan Hotel International
374,Nouadhibou,MR,68.11,overcast clouds,20.931,-17.0347,El Medina
377,Dublin,US,67.12,clear sky,37.7021,-121.9358,Pleasanton Marriott
381,Bombay,IN,78.78,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
382,Palauig,PH,79.92,broken clouds,15.435,119.9045,Alperi Botique Resort
383,Kanniyakumari,IN,78.13,overcast clouds,8.0833,77.5667,Sparsa
386,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
