City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Ponta Do Sol,PT,32.6667,-17.1,65.03,77,51,8.61,broken clouds
155,Nanortalik,GL,60.1432,-45.2371,41.18,93,100,13.42,overcast clouds
156,Erwitte,DE,51.6167,8.35,35.89,93,90,5.75,mist
157,Brooks,CA,50.5834,-111.8851,53.19,55,95,7.05,overcast clouds
158,Fortuna,US,40.5982,-124.1573,53.94,93,90,0.0,overcast clouds
159,Cairns,AU,-16.9167,145.7667,76.95,88,90,4.61,light intensity shower rain
160,Thanh Hoa,VN,19.8,105.7667,65.91,75,100,4.25,overcast clouds
161,Williston,US,48.147,-103.618,48.94,56,100,5.66,overcast clouds
162,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,42,3.65,scattered clouds
163,Bonfim,BR,3.0833,-59.95,88.03,50,82,14.29,broken clouds
164,Belaya Gora,RU,68.5333,146.4167,-20.83,99,100,1.63,overcast clouds
165,Georgetown,MY,5.4112,100.3354,76.93,94,20,0.0,few clouds
166,Mehamn,NO,71.0357,27.8492,14.18,73,36,21.85,scattered clouds
167,Tuatapere,NZ,-46.1333,167.6833,58.75,46,22,3.49,few clouds
168,Valkeakoski,FI,61.2642,24.0312,14.38,77,100,9.26,overcast clouds
169,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,94,93,9.46,overcast clouds
170,Carnarvon,AU,-24.8667,113.6333,74.64,64,0,16.96,clear sky
171,Wajima,JP,37.4,136.9,46.22,63,100,6.42,overcast clouds
172,Touros,BR,-5.1989,-35.4608,83.3,77,53,10.87,broken clouds
173,Lasa,IT,46.6166,10.7002,31.91,94,100,6.78,overcast clouds
174,Nelson Bay,AU,-32.7167,152.15,62.65,74,100,6.15,overcast clouds
175,Naze,JP,28.3667,129.4833,63.79,66,100,15.14,overcast clouds
176,Belmonte,BR,-15.8631,-38.8828,79.3,84,33,14.47,scattered clouds
177,Grindavik,IS,63.8424,-22.4338,43.27,100,90,12.66,light intensity drizzle
178,Anadyr,RU,64.75,177.4833,1.9,85,90,2.24,light snow
179,Nemuro,JP,43.3236,145.575,41.85,70,6,11.43,clear sky
180,Broome,US,42.2506,-75.833,32.77,93,90,8.05,mist
181,La Trinitaria,MX,16.1167,-92.05,72.3,41,96,3.67,overcast clouds
182,Pisco,PE,-13.7,-76.2167,69.85,73,0,23.02,clear sky
183,Komsomolskiy,UZ,40.4272,71.7189,33.22,80,33,4.61,mist
184,Hofn,IS,64.2539,-15.2082,31.17,97,100,9.8,snow
185,Sitka,US,57.0531,-135.33,35.49,69,75,18.41,light snow
186,Sault Sainte Marie,CA,46.5168,-84.3333,32.56,89,90,0.0,mist
187,Tabas,IR,33.5959,56.9244,57.43,28,93,1.5,overcast clouds
